,Title,Company,Location,Salary,Snippet,Job_Type
1218,Customer Service Representative (CSR),GMA New Media Inc.,Remote in Quezon City,,Resolve product or service problems by clarifying the customer's complaint;,customer_support
1219,CONCIERGE,Century Properties Management (CPMI),Manila,,"Graduate of Hotel, Tourism or Hospitality Management courses.",customer_support
1220,Customer Support Representative (CSR/TSR),Bolton International,Temporarily Remote in Taguig,"PHP 30,000 - PHP 40,000 a month",Worked with customers in the UK and US.,customer_support
1221,Customer Service Representative - Fashion Jewelry,Enshored Inc.,Temporarily Remote in Pasig,"PHP 20,000 - PHP 22,500 a month",Experience working with customer support.,customer_support
1222,Online Customer Service for Shopee/Lazada (URGENT),Ipason Technology Inc.,Manila,"PHP 15,000 - PHP 17,000 a month",Dealing directly with the customer either thru telephone or electronic mail.,customer_support
1223,Customer Service Representative,iSupport Worldwide,Pasig,"PHP 25,000 - PHP 30,000 a month",Ability to adapt to changing requirements to resolve customer issues.,customer_support
1224,Customer Service Representative,Optum,Remote in Quezon City,,At least 3rd-year college - No call center experience required.,customer_support
1225,Customer Service Representative,SLS,Temporarily Remote in Quezon City,"PHP 25,000 a month","Keep records of customer interactions, process customer accounts and file.",customer_support
1226,Customer Service Representative (Travel Account),Cebu Career Center,Temporarily Remote in Pasig,"PHP 25,000 - PHP 30,000 a month","Successful candidates will be responsible for handling service support calls, as well as promote and cross sell value added services to various customers.",customer_support
1227,Customer Service Team Lead,Maersk,Manila,,Keeping a record of customer interaction and details of actions taken.,customer_support
1228,WFH OR ONSITE - CALL CENTER AGENT - DAYSHIFT,Metacom Business Process Outsourcing,Quezon City,"PHP 17,000 - PHP 26,000 a month",,customer_support
1229,Customer Support Executive D&A Eikon,LSEG (London Stock Exchange Group),Taguig,,Call out problems affecting a number of customers or influencing the timely resolution of one customer’s enquiry.,customer_support
1230,Work from home - CSR,J. Plazo Staffing Corp.,Temporarily Remote in Alabang,"PHP 16,000 - PHP 20,000 a month",A Customer Service Representative position (SEASONAL & FULL TIME) is NOW OPEN for no work experience and career shifters!,customer_support
1231,Back Office Associate / Management Trainee,Archer's Marketing Group,Remote in Quezon City,"PHP 4,000 - PHP 12,000 a week",Filling of papers needed for the documents of applicants and clients availing the services and customer service.,customer_support
1232,HOMES CUSTOMER SUPPORT AGENT,Penbrothers,Remote in Makati,,Provide an exceptional level of customer support to all users who reach out.,customer_support
1233,Customer Service Representative - Travel account,Accenture,Remote in Alabang,,Open to undergrads and HS Grad with relevant work experience.,customer_support
1234,Project-Based Phone and Email Support,Boldr,Pasig,"PHP 30,000 a month","In this position, you will collaborate with internal and external teams in handling the needs of the customer to provide excellent customer service in a timely…",customer_support
1235,CSR (Permanent Work From Home),TaskUs Fort Excellence,Remote in Taguig,"PHP 20,000 - PHP 25,000 a month",The successful candidate for this role will have a strong command of the company’s customer service policies and be well-trained in product knowledge that can…,customer_support
1236,Customer Care Representative Work At Home (FV),STARTEK,Remote in Pasig,,Informs customers about services available and assesses customer needs.,customer_support
1237,CSR - Open for SHS Graduate! with 6 Months BPO exp. | HOMEBA...,"Stark Asia Solutions, Inc",Remote in Alabang,"PHP 20,600 - PHP 21,600 a month",With at least 25Mbps Internet speed at home.,customer_support
1238,Customer Sales Representative | WFH,"Johnsons Berkshire Solutions, Inc.",Remote in Makati,,The *_Sales Representative_* will be the one responsible for selling the Medlocker's products and providing a customer service.,customer_support
1239,Customer Service (Chat) | Eastwood Based (EL 971),Accenture,"Quezon City
+1 location","PHP 21,000 a month",Chat Support Representative* are responsible for managing various customer issues depending on account assignment; transactions can be related to billing and…,customer_support
1240,CSR - TSR! 1DAY HIRING - Phone Interview & Online Process (H...,"Stark Asia Solutions, Inc",Remote in Alabang,"PHP 20,600 - PHP 21,600 a month",With at least 25Mbps Internet speed at home.,customer_support
1241,CSR/TSR (Crypto Gaming/NFT Game),Enshored Inc.,Pasig,"PHP 20,000 - PHP 22,000 a month",Ensure customer satisfaction and provide professional customer support.,customer_support
1242,CSR | Australian Account | WFH | Day Shift,"Stark Asia Solutions, Inc.",Remote in Pasig,"PHP 16,500 - PHP 20,000 a month",Customer Service Representatives* are responsible for managing various customer issues depending on account assignment; transactions can be related to billing…,customer_support
1243,Inbound Salesperson (All sales made via email),IELTS Advantage,Remote in Manila,"PHP 46,103 - PHP 61,470 a month",Deliver excellent customer service and proactively look for innovative ways to improve customer service.,customer_support
1244,ORDER TRACKING ACCOUNT | PURE CUSTOMER SERVICE,IBEX Philippines,Parañaque,"PHP 11,443 - PHP 29,713 a month",Assist customers about their missing/misdelivered package(s).,customer_support
1245,Multimedia Intern,Cebu Pacific,Pasay,,"Cebu Pacific Air, the Philippines’ leading airline, constantly innovates to provide a best-in-class employee experience for everyJuan.",customer_support
1246,Crewing Recruitment Officer,V.Ships Services Oceana,Parañaque,"PHP 29,000 - PHP 35,000 a month",Delivers first class candidate and internal customer experience at all times.,customer_support
1247,Call Center Associates,CLEAR Corporate Solutions,Temporarily Remote in Makati,,Provide admin support and flexibility to perform relevant tasks as required by the client.,customer_support
1248,Admin Assistant/Customer Service,Skylight Energy,Remote in Manila,"PHP 20,000 - PHP 25,000 a month",Providing real-time scheduling support by booking appointments and preventing conflicts.,customer_support
1249,Customer Service Officer / Executive | Remote Work,Wistkey Technologies Limited / MamaHelpers,Remote in Makati,,Coordinate customers and technical service section.,customer_support
1250,Customer Service Associate | Virtual Interview | WFH,Orbit Teleservices,Remote in Cubao,,Bonuses for Sales Account and Perfect Attendance Bonuses.,customer_support
1251,"Customer Care Agent - Manila, Philippines (m/f/x)",HelloFresh,Manila,,Providing general support and building engaging relationships on each and every customer call or interaction.,customer_support
1252,CSR TRAVEL ACCOUNT | BRIDGETOWNE SITE – WORK FROM HOME,WNS Global Services Philippines Inc.,Temporarily Remote in Quezon City,"PHP 18,000 - PHP 22,000 a month",Listen attentively to customer needs and demonstrate empathy while providing the customer support.,customer_support
1253,URGENT HRING | Healthcare Account | CSR work at home,Neksjob Philippines,"Remote in Quezon City
+1 location","PHP 25,200 a month","As a CSR, you will provide outstanding customer service by answering queries and providing assistance to the customers over the phone.",customer_support
1254,Customer Care Specialist,DMCI Homes,Makati,,"Can handle work pressure, and has good temper in handling different types of customer.",customer_support
1255,Customer Relations Officer,MANINDRA AUTO CORP,Quezon City,"PHP 20,000 a month",Bachelor's/ College Degree in any field.,customer_support
1256,Open to Highschool Grad | Customer Service Representative,Orbit Teleservices Philippines,Mandaluyong,"PHP 16,000 - PHP 30,000 a month",BPO or Call center experience are required for High school grad and College Undergrad; or.,customer_support
1257,OFFICE STAFF (MANILA),Sobida Motors Corporation,Manila,"PHP 14,000 - PHP 16,000 a month","Excellent in typing, microsoft application, has customer service skills.",customer_support
1258,Call Center Agent - Work at Home - Taguig City - Up to 35K g...,GHS Specialist,Temporarily Remote in Taguig,"PHP 20,000 - PHP 35,000 a month",Must be at least High School Graduate.,customer_support
1259,Temporary WFH | Customer Care Agent | Cubao,Orbit Teleservices Philippines,Temporarily Remote in Marikina,"PHP 18,000 - PHP 27,000 a month",BPO or Call center experience are required for High school grad and College Undergrad; or.,customer_support
1260,Customer Service Representative PERMANENT WORK FROM HOME,"JustPressOne, Inc.",Remote in Manila,"PHP 23,000 - PHP 24,500 a month",SOME OF OUR ACCOUNTS ARE WEEKENDS OFF!*.,customer_support
1261,Customer Service Representative,Omni Channel Solutions,Temporarily Remote in Pasig,"PHP 23,000 - PHP 27,000 a month",✅ Experience working as a virtual customer service representative.,customer_support
1262,CSR TRAVEL ACCOUNT | ALABANG SITE – WORK FROM HOME,WNS Global Services Philippines Inc.,Remote in Muntinlupa,"PHP 18,000 - PHP 22,000 a month",Listen attentively to customer needs and demonstrate empathy while providing the customer support.,customer_support
1263,Executive Assistant And Customer Service Representative,Remoteva.ph,Remote in Manila,"PHP 20,000 a month",Work is full time (10 AM-6 PM Eastern Standard Time).,customer_support
1264,Customer Service Associate - eCommerce,Forever Floral,Remote in Manila,"PHP 20,000 - PHP 25,000 a month","Work with our existing customer service team to help customers with their questions via web chat, email, phone and more.",customer_support
1265,Customer Service Representative - Email | Chat | Voice - Tem...,Trinity Workforce Solutions,Manila,"PHP 18,000 - PHP 28,000 a month",Following up with customers to ensure full resolution of issues.,customer_support
1266,Customer Care Professional,American Express,Temporarily Remote in Taguig,,"Premium customer service experience (preferably in BFSI, additional billing experience also helpful) and/or sales experience with a passion for building…",customer_support
1267,CUSTOMER SERVICE REPRESENTATIVE - MANILA,GDV STACKph,"Remote in Manila
+4 locations","PHP 24,000 - PHP 27,000 a month",With 6 months BPO experience.,customer_support
1268,Customer Service Representative permanent WORK FROM HOME,"JustPressOne, Inc.",Remote in Manila,"PHP 23,000 - PHP 24,500 a month",SOME OF OUR ACCOUNTS ARE WEEKENDS OFF!*.,customer_support
1269,14 - Customer Service Representative (Homebased),Support Shepherd,Remote in Manila,"PHP 35,000 - PHP 50,000 a month",Provide phone support for incoming guest calls and provide world-class customer service.,customer_support
1270,Customer Service Agent,Maersk,Manila,,Build strong and lasting relationships with customers and provide second-to-none customer service.,customer_support
1271,Email Chat Voice Agent / CSR - min of 6 months exp! DAY SHIF...,Trinity Workforce Solutions,Fort Bonifacio,,Answering incoming calls from customers.,customer_support
1272,Hotel Reservation Account Specialist - CSR,Aspire Global Solutions,Remote in Mandaluyong,"PHP 15,000 - PHP 21,000 a month",Matching customers’ wishes to Clients’ solutions and services.,customer_support
1273,Customer Service Representative (CSR),STARTEK,Pasig,"PHP 16,000 - PHP 20,000 a month",Informs customers about services available and assesses customer needs.,customer_support
1274,CSR - Customer Service Representative,Datamatics,Remote in Pasig,"PHP 18,000 - PHP 20,000 a month","Call Handling: Place Customer calls as a representative of ACT, using scripts and other aids as required by ACT including:",customer_support
1275,Work From Home Customer Service Representative for Food Deli...,Metacom BPO Cubao,Remote in Quezon City,"PHP 13,000 - PHP 16,000 a month","Salary*: Up to 16,000 monthly basic while staying at home.",customer_support
1276,Customer Service Representative (CSR) - Toktok ph,Cloud Panda PH Inc.,Pasig,"PHP 17,000 a month","De-escalate situations involving dissatisfied customers, offering patient assistance and support.",customer_support
1277,Customer Service Representative (CSR),BPI Globe BanKO,Taguig,"PHP 18,000 - PHP 25,000 a month",Listen and respond to customers' questions.,customer_support
1278,Receptionist,SyCipLaw Center,Makati,,Advise concerned employee/unit of visitor/s’ presence or direct or accompany visitor/s to his/her/their destination.,customer_support
1279,Call Center Agent,TaskUs,"Temporarily Remote in Quezon City
+1 location","PHP 20,000 - PHP 27,000 a month",At least 18 years old.,customer_support
1280,Customer Support Representative,Workstream,Remote in Manila,,Ensure customer satisfaction and provide professional customer support.,customer_support
1281,Customer Service Representative,Diavox Network Inc.,Temporarily Remote in Makati,"PHP 20,000 - PHP 23,900 a month",Graduate or Undergraduate of any course.,customer_support
1282,Customer Service Representative - Retail Account,Booth and Partners,Remote in Makati,"PHP 20,000 - PHP 23,000 a month",Monitors and process customers’ orders accurately in a timely manner.,customer_support
1283,Customer Service Representative,Outforce Inc.,Remote in Pasig,"PHP 25,000 a month",Our client is looking for a dedicated Customer Support Representative who will manage customer inquiries and resolve other back-of-house support needs.,customer_support
1284,Mass Hiring! CSR for Travel Reservation Agent,Orbit Teleservices,Remote in Muntinlupa,"PHP 20,000 a month",Bonuses for Sales Account and Perfect Attendance Bonuses.,customer_support
1285,Customer Service Representative PERMANENT WORK FROM HOME,"JustPressOne, Inc.",Remote in Manila,"PHP 23,000 - PHP 24,500 a month",SOME OF OUR ACCOUNTS ARE WEEKENDS OFF!*.,customer_support
1286,CSR- Corporate Travel Agent| WFH/ Zoom Interview,Orbit Teleservices,Remote in Muntinlupa,"PHP 20,000 a month",3 Dependents can be enrolled in our HMO after 3 months.,customer_support
1287,Customer Service Representative (CSR) RK,"John Clements Consultants, Inc.",Remote in Alabang,,Answer inbound calls from customers.,customer_support
1288,Call Center Agent | No Experience need | Alabang,Neksjob Philippines,Remote in Alabang,"PHP 25,000 a month",At least with work experience.,customer_support
1289,Call Center Agent/Customer Service Representative,"Optum Global Solutions, Inc.",Remote in Alabang,"PHP 19,000 - PHP 24,000 a month",At least 6 months BPO international voice exp + 2 years college.,customer_support
1290,Customer Service Representative (CSR),AUMTREND PH INC,"Temporarily Remote in Muntinlupa
+2 locations","PHP 14,000 - PHP 27,000 a month",Vocational/TESDA Course with at least six (6) months continuous customer facing experience.,customer_support
1291,Customer Service - Workforce Scheduling Analyst,Shopee,Taguig,,Develop schedules that effectively deliver staffing levels that consistently achieve service level commitments.,customer_support
1292,Customer Care Officer (Local Account),Teleserv,Manila,,Effective customer handling or willing to handle customers over the phone.,customer_support
1293,Customer Svcs Representative,CBRE,Remote in Makati,,"Consistently provides a positive, all-inclusive customer experience by “owning” every customer experience focusing on and driving toward superior customer…",customer_support
1294,Customer Svcs Representative (IFM),CBRE,Makati,,,customer_support
1295,Customer Service Representative (CSR)-Manila One Day Process,STACKph,Manila,"PHP 27,000 - PHP 30,000 a month",Good to excellent English communication skills.,customer_support
1296,Safety Investigations Team Lead I,Uber,Taguig,,"Build and maintain partner relationships: Interact and collaborate with teams from the different regions and cities we support, constantly improving our level…",customer_support
1297,Customer Service Representative permanent WORK FROM HOME,"JustPressOne, Inc.",Remote in Manila,"PHP 23,000 - PHP 24,500 a month",SOME OF OUR ACCOUNTS ARE WEEKENDS OFF!*.,customer_support
1298,Customer Service Representative,Accenture,"Manila
+2 locations",,Customer Service Representatives are responsible for managing various customer issues depending on account assignment; transactions can be related to billing…,customer_support
1299,CSR for Travel Account*WFH*DAYSHIFT*ZOOM INTERVIEW,Metacom,"Temporarily Remote in Manila
+2 locations","PHP 30,000 a month",Work to a budget set out by the customer planning the holiday.,customer_support
1300,Customer Care Specialist ( Temporary Work From Home ),"HelloConnect, Inc.",Remote in Taguig,"PHP 25,000 - PHP 28,000 a month",Providing general support and building engaging relationships on every customer call or interaction.,customer_support
1301,CASHIERS,"North Park Noodle House, Inc.",Makati,,With a high sense of value for customer service.,customer_support
1302,Call Center Agents Ramping for South and North Site| Apply n...,Sapient Bpo,Remote in Alabang,"PHP 18,000 - PHP 24,000 a month",Amenable to work rotating shifts.,customer_support
1303,Customer Service Representative | Voice & Chat,Omni Channel BPO,Pasig,,Experience working as a virtual customer service representative.,customer_support
1304,Customer Service Representative | US Food Delivery | Work-Fr...,TaskUs PH,Pasig,"PHP 22,000 - PHP 24,600 a month",Provide customer satisfaction and experience.,customer_support
1305,Healthcare account Customer Service Representative,Teleperformance,Mandaluyong,"PHP 13,000 - PHP 24,000 a month",Medical & Life Insurance PLUS OTHER PERKS & BENEFITS.,customer_support
1306,Hiring Call Center Agent for Work From Home setup.,Neksjob Philippines,"Temporarily Remote in Muntinlupa
+6 locations","PHP 17,000 - PHP 19,500 a month",At least HS Graduate- SHS Graduate.,customer_support
1307,Recruiter,Amex,Remote in Taguig,,"The Full Lifecycle Recruiter is responsible for strategically executing the end-to-end hiring process at AXP, while ensuring superior candidate and Hiring…",customer_support
1308,B2B Sales Specialist - Night Shift (BPO experience required),PSB Technology Services Inc.,Remote in Pasig,"PHP 30,000 a month","Competitive salaries and benefits, including performance incentive.",customer_support
1309,10 SALES ENCODER,SYMANPRO MANPOWER SERVICES CONTRACTOR CORPORATION,Valenzuela,,With good communication and customer service skills.,customer_support
1310,Customer Service Associate,Macoline freight forwarding services inc.,Pasay,"PHP 15,000 - PHP 20,000 a month",Provide optimal customer services to clients and maintain status report of all shipments.,customer_support
1311,Customer Care Representative On Site (FV),STARTEK,Remote in Pasig,,Informs customers about services available and assesses customer needs.,customer_support
1312,Customer Service Representative (CSR),Superstaff,Makati,"PHP 20,000 - PHP 25,000 a month",Previous experience in a customer support role.,customer_support
1313,Earn up to 22k! Be a Customer Experience Executive – TEX | D...,Probe Group,Manila,"PHP 19,000 - PHP 22,000 a month","Experience on phone, email and live chat support preferred but not required.",customer_support
1314,Safety Investigations Specialist I - US&C RISK,Uber,Taguig,,Escalate concerns/issues to ensure better manage customer experience.,customer_support
1315,Safety Investigations Specialist I - US&C CAS (Spanish),Uber,Taguig,,Escalate concerns/issues to ensure better manage customer experience.,customer_support
1316,Customer Service Representative - ANZ Delivery,Uber,Taguig,,"Work experience in a high energy, productive and customer centric environment.",customer_support
1317,Customer Sales Representative (WFH),SLK Global Philippines,Temporarily Remote in Muntinlupa,"PHP 17,000 a month",Deliver exceptional customer service to potential and existing customers.,customer_support
1318,Email / Chat / Voice Account CSR - Open for Fresh Graduate/U...,Trinity Workforce Solutions,Quezon City,,Answering incoming calls from customers.,customer_support
1319,Customer Assistant,Super Shopping Market Inc. (SM Hypermarket) - Head...,Pasay,,Graduate of any four years course.,customer_support
1320,"CSR - WFH | Sucat, Parañaque | Equipment provided|20k Salary",M and J Solutions Provider Inc.,Remote in Parañaque,"PHP 18,000 - PHP 20,000 a month",Ensure feedback from the customer to further improve customer services.,customer_support
1321,Customer Service Representative (NIGHT SHIFT) (Open for Fres...,Insight,Remote in Pasig,"PHP 18,000 - PHP 23,000 a month",Establishes and maintains a high level of customer satisfaction in all sales transactions.,customer_support
1322,Customer Care Specialist (Order Management),Rockwell Automation,Manila,,Provide timely update to customers / distributors when required.,customer_support
1323,Call Center Agent | Quezon City | Up to 19K,Teleperformance,Quezon City,"PHP 16,000 - PHP 19,000 a month",Must be at least High School (Old Curriculum) Graduate or Senior High School Graduate (New Curriculum).,customer_support
1324,Customer Success & Administration Assistant - Work from Home,FiltaGlobal,"Temporarily Remote in Quezon City
+2 locations",,You will also support the Director and the team with full administration support including process documentation and reaching out to customers outbound to…,customer_support
1325,Customer Service Associate,Nagase Philippines International Services...,Makati,"PHP 20,000 - PHP 22,000 a month",Send monthly PO balance report to customer.,customer_support
1326,Urgent! BPO Customer Service Agent! On site | Ortigas #LPGL,Outsource Accelerator,Ortigas,"PHP 28,000 - PHP 30,000 a month",Utilize customer relationship management software to facilitate the process of responding to customer calls and addressing customer concerns.,customer_support
1327,09 - Customer Service Representative (Homebased),Support Shepherd,Remote in Manila,"PHP 40,000 - PHP 75,000 a month",Will respond to customers via email and possibility of live chat.,customer_support
1328,Customer Service Agent,Maersk,Manila,,Build strong and lasting relationships with customers and provide second-to-none customer service.,customer_support
1329,CSR( Work and train from HOME) PC set provided by company,J. Plazo Staffing Corp.,Remote in Alabang,"PHP 20,000 a month",Work and train from home.,customer_support
1330,Customer Support Specialist | Work from home,"Psychometric, Inc.",Remote in Manila,,"The role involves engaging with high-end customers in all forms of communication, either through calls or chat/email.",customer_support
1331,Recruitment and Onboarding Administration Specialist - NA,Johnson & Johnson Family of Companies,Manila,,Demonstrates customer orientation and excellent customer service skills.,customer_support
1332,Ramping| Call Center Agent | WAH | WOS,Metacom Business Process Outsourcing Solutions,Remote in Taguig,"PHP 16,000 - PHP 35,000 a month",\* Up to 35k expected salary per month.,customer_support
1333,Customer Service Representative,FIS Global Soutions,Temporarily Remote in Makati,"PHP 17,000 - PHP 22,000 a month",HIGH SCHOOL GRADUATE is ACCEPTED.,customer_support
1334,Teleperformance Philippines - Luzon - Customer Service Speci...,Teleperformance Philippines,Mandaluyong,,You will field customer inquiries and provide solutions that help create excellent customer experiences.,customer_support
1335,CUSTOMER SERVICE REP l LOCAL ACCOUNT l DAYSHIFT,Transec BPO Solutions Inc.,"Temporarily Remote in Ortigas
+1 location",,Must have at least 6 months experience in customer service.,customer_support
1336,Customer Service Representative (Home-based/Office-based),CarBNB Philippines,Remote in Manila,"PHP 15,000 - PHP 20,000 a month","Responsible for managing various customer issues for CarBNB Clients and Partners Philippines*; transactions can be related to rentals, billing and collections…",customer_support
1337,Customer Service Assistant,OOCL Logistics Group,Manila,,Attend to customer’s queries and complaints (if any).,customer_support
1338,Customer Service Representative - Email | Chat | Voice Accou...,Trinity Workforce Solutions,Temporarily Remote in Manila,"PHP 16,000 - PHP 27,000 a month","Clarify customer requirements; probe for understanding, use decision-support tools and resources to appropriately provide resolution to the customer.",customer_support
1339,CSR • Local Account • Semi Non-Voice,Transec BPO Solutions Inc.,Remote in Pasig,,Must have at least 6 months experience in customer service.,customer_support
1340,Customer Support Specialist,Lightspeed Commerce,Temporarily Remote in Manila,,Proven technical support and customer service experience.,customer_support
1341,Customer Service Representative,Find Human Resources Philippines,Taguig,"PHP 19,000 - PHP 24,000 a month","Job Types: Full-time, Permanent.",customer_support
1342,MASS HIRING! TSR & CSR! PERMANENT ROLE | HOMEBASED JOB!,"Stark Asia Solutions, Inc",Remote in Alabang,"PHP 20,000 - PHP 21,600 a month",With at least 25Mbps Internet speed at home.,customer_support
1343,Call Center Agent,MAQ Talent,Alabang,"PHP 18,000 - PHP 27,000 a month","Amenable to work during weekends and holidays, and rendering overtime.",customer_support
1344,Customer Service Representative (CSR) | 18k to 27k Basic Sal...,M&J Solutions Provider Inc.,Alabang,"PHP 18,000 - PHP 27,000 a month","Clarify customer requirements; probe for understanding, use decision-support tools and resources to appropriately provide resolution to the customer.",customer_support
1345,One-DAY Hiring Process! | Call Center Agent | Virtual Interv...,Orbit Teleservices,Remote in Cubao,"PHP 18,000 - PHP 25,000 a month",Perform customer service systems when needed.,customer_support
1346,Customer Service Representative - Healthcare Manila,eTeam Workforce Pte Ltd,Remote in Quezon City,,Graduate of a 4 yr course without BPO experience OR.,customer_support
1347,CSR - HEALTHCARE| START ASAP!!| EASY VIRTUAL PROCESS!,AHS,Temporarily Remote in Alabang,"PHP 17,000 - PHP 23,000 a month",High school graduate with at least 6 months BPO experience.,customer_support
1348,Call Center Agent - Quezon City,Headstart,"Quezon City
+1 location","PHP 18,000 - PHP 27,000 a month",Assisting customers by responding to their questions.,customer_support
1349,Sourcing Associate (Ortigas),TaskUs,Pasig,,Open to offsite assignments to support recruitment hub operations.,customer_support
1350,Hotel Front Office Associate,HR Spectacles,Makati,"PHP 18,000 - PHP 25,000 a month",Practices maximum flexibility and creativity when dealing with special customers.,customer_support
1351,Customer Service Representative | Open for Fresh Graduate,"Stark Asia Solutions, Inc.","Remote in Alabang
+1 location",,"Greeting customers in a friendly, professional manner using the suggested script.",customer_support
1352,Customer Service Representative (CSR) | WORK AT HOME,Orbit Teleservices,Remote in Cubao,"PHP 15,000 - PHP 33,000 a month",Comprehending the customers’ wants through efficient listening and questioning skills.,customer_support
1353,"Customer Service Representative (Voice) - Tempo WFH, Open to...",Straive,Remote in Parañaque,,In order to correctly identify and assess customers’ needs.,customer_support
1354,Customer Service Representative for Pioneer Account | Virtua...,Orbit Teleservices,Remote in Cubao,"PHP 18,000 - PHP 25,000 a month",Using mediation and influencing skills to contend with arguments and secure the customers’ buy-in.,customer_support
1355,WORK FROM HOME - CSR,HCL Technologies,Remote in Taguig,"PHP 24,000 a month","Resolving customer complaints, managing database records, drafting status reports on customer service issues.",customer_support
1356,Call Center Agent,SL Energy,Remote in Manila,"PHP 17,000 - PHP 30,000 a month","Discuss benefits, handle objections, set appointments and follow-up calls for our customers.",customer_support
1357,=Call center agent/HS grad and SHS grad accepted/35k signing...,Metacom,Temporarily Remote in Manila,"PHP 30,000 a month",Document all inquiries in regards to questions.,customer_support
1358,Call Center Agent l WFH Or Work On Site l Sucat Site,Neksjob,Remote in Parañaque,"PHP 20,000 a month",Must have an ability to understand the customer’s needs.,customer_support
1359,Customer Service Representatives - Online Educational Servic...,Important company in the sector,Remote in Cubao,,Excellent English communication skills in English.,customer_support
1360,Customer Service Representative,TPG Philippines,Temporarily Remote in Pasig,,Resolve customer issues by telephone.,customer_support
1361,CSR - WFH,Software Co.,Remote in Manila,,5 years plus great customer service experience.,customer_support
1362,Customer Service Representative (CSR),Hunter's Hub Inc.,Alabang,"PHP 18,000 - PHP 27,000 a month",At least HS Grad (old curriculum) or Senior High Grad.,customer_support
1363,CSR /Customer Service | BPO,Hunters Hub Incorporated,Alabang,"PHP 18,000 - PHP 27,000 a month",At least High School Graduate.,customer_support
1364,Customer Support Specialist (B2B Email Support),"PW Global BPO and Export Services, Inc....",Remote in Manila,"PHP 23,000 - PHP 32,000 a month",Experience in doing seller support for e-commerce accounts is highly preferred.,customer_support
1365,Chat and Email Support Representatives (Dayshift AU),ZALORA SOUTH EAST ASIA PTE LTD,Muntinlupa,,"Demonstrate exceptional customer service skills in every interaction and ensure timely, one-contact resolution with customers.",customer_support
1366,Associate,Firstsource Healthcare,Remote in Manila,,Adapt to process changes and assist in creating ways for delivering excellent customer service.,customer_support
1367,Customer Service Associate – Local Account,Transec BPO Solutions,Pasig,,"Deliver a stellar customer support experience by providing friendly and efficient customer service via phone, email, and chat.",customer_support
1368,Travel Counselor,Carlson Wagonlit Travel,Makati,,2+ years of experience working in a customer service environment that includes 2+ year as a travel counselor.,customer_support
1369,Customer Journey Officer | WFH,"Johnsons Berkshire Solutions, Inc.",Remote in Makati,,Audit and analyze customer behavior and data and feedback to improve customer experience.,customer_support
1370,Customer Service Representative,Go Virtuals,Remote in Taguig,,Any other roles as a customer support.,customer_support
1371,Clinical Call Center Agent,Rekha Technologies LLC,Remote in Manila,"PHP 14,386 - PHP 31,740 a month",Previous customer service experience preferred.,customer_support
1372,Call Center Representative,Zengage,Pasay,"PHP 28,000 a month",Understand and strive to meet or exceed call center metrics while providing excellent and consistent customer service.,customer_support
1373,Call Center Agent,Linked Helpers,"Remote in Quezon City
+1 location","PHP 20,000 a month",Management and resolve customer complaints.,customer_support
1374,Hiring Call Center Agents for CSR Telco Account- Hiring Now,Sapient Bpo,Remote in Alabang,"PHP 18,000 - PHP 23,000 a month",Amenable to work rotating shifts.,customer_support
1375,Customer Service Representative (Call Center Agent),"Cybersoft Content Services, Inc.",Temporarily Remote in Quezon City,"PHP 23,000 a month",Manages and resolves customer complaints.,customer_support
1376,Hiring! Call Center Agent/WAH/WOS/no bpo exp required,Metacom Business Process Outsourcing Solutions,Remote in Manila,"PHP 20,000 - PHP 40,000 a month","Gathers information, researches/resolves queries, and logs customer calls.",customer_support
1377,Temporary WFH | Call Center Representative,Orbit Teleservices Philippines,Remote in Pasig,"PHP 16,000 - PHP 30,000 a month",BPO or Call center experience are required for High school grad and College Undergrad; or.,customer_support
1378,CALL CENTER AGENT -WFH,GDV STACKph,"Remote in Manila
+1 location","PHP 24,000 - PHP 28,000 a month","No BPO experience are welcome to apply, with above average Communication skills in English language.",customer_support
1379,Call Center Agent/Customer Service Representative,Cebu career center,Remote in Makati,"PHP 23,000 a month",OPEN FOR (CSR AND TSR!).,customer_support
1380,Call Center Agent (Travel Account) | Pasig |Up to 45K,Teleperformance,Pasig,"PHP 45,000 a month",Must have at least *3 years call center experience* handling Travel accounts *(inclusive of 1 year GDS SABRE experience) or at least 3 years of solid Sabre GDS*…,customer_support
1381,Call Center Agent - Dayshift,Aspire Global Solutions,Remote in Mandaluyong,"PHP 18,000 - PHP 24,000 a month","• Checks mail, fax and internet mail to provide customer assistance.",customer_support
1382,[Nightshift/Onsite - Eastwood] Financial email / chat suppor...,Acquire BPO,Eastwood City,"PHP 21,000 - PHP 23,000 a month",O Correctly refer customer to other support team for any account-specific request or concern such as but not limited to:,customer_support
1383,Call Center Agent- ALABANG/IMUS SITE !! DAY SHIFT ACCOUNT!!,GDV STACKph,Temporarily Remote in Alabang,"PHP 25,000 - PHP 30,000 a month",Good to excellent english communication skills.,customer_support
1384,Fresh Graduate / Call center Agent Hiring / Good for newbie...,Neksjob Philippines,"Remote in Quezon City
+4 locations","PHP 15,000 - PHP 18,000 a month",Good communication and computer navigation skills.,customer_support
1385,Customer Service Representative(CSR) Hotel Reservations | Op...,Teleperformance,Pasig,"PHP 15,000 - PHP 16,000 a month",Appropriately and adequately communicate with customers.,customer_support
1386,Customer Service Support,Höegh Autoliners Regional Operating Headquarter,Temporarily Remote in Makati,,Report and adhere to customer service KPIs.,customer_support
